Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.011338,0.0059891,0.071506,0,0,0,5.4761,0.02569,0.0027165,0.00059767,0.029398,-0.00031576,0.033479,0,0,0,0,0,0,package://kuka_glass/meshes/base_link.STL,0.9098,0.44314,0.031373,1,0,0,0,0,0,0,package://kuka_glass/meshes/base_link.STL,,base-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.037902,-0.033792,0.12736,0,0,0,4.1083,0.031298,0.001405,-0.0056471,0.033271,0.0047181,0.014006,0,0,0,0,0,0,package://kuka_glass/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://kuka_glass/meshes/link_1.STL,,link1-1,Origin_joint1,Axis_joint1,joint1,revolute,0,0,0.14702,0,-0.28924,-1.9847,base_link,0.28522,0,0.95846,100,50,-2.96,2.96,,,5,5,,,,
link_2,0.00015771,0.041977,0.058815,0,0,0,3.9509,0.030589,-2.25E-05,3.3192E-05,0.030415,0.0048837,0.011015,0,0,0,0,0,0,package://kuka_glass/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kuka_glass/meshes/link_2.STL,,link2-1,Origin_joint2,Axis_joint2,joint2,revolute,0.060747,0,0.20414,0,1.5159,0,link_1,0,1,0,100,50,-2.96,2.96,,,5,5,,,,
link_3,2.3106E-06,0.029561,0.14751,0,0,0,3.1749,0.025078,-6.2752E-08,-1.0088E-07,0.023807,-0.0048734,0.0076079,0,0,0,0,0,0,package://kuka_glass/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kuka_glass/meshes/link_3.STL,,link3-1,Origin_joint3,Axis_joint3,joint3,revolute,0,0,0.18349,0,0,-1.147,link_2,0,0,1,100,50,-2.96,2.96,,,5,5,,,,
link_4,1.4671E-06,-0.034257,0.067429,0,0,0,2.7391,0.017201,-4.365E-08,3.3504E-08,0.016393,-0.0028452,0.0061369,0,0,0,0,0,0,package://kuka_glass/meshes/link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kuka_glass/meshes/link_4.STL,,link4-1,Origin_joint4,Axis_joint4,joint4,revolute,0,0,0.23651,0,-0.47963,0,link_3,0,1,0,100,5,-2.96,2.96,,,5,5,,,,
link_5,-0.00012038,-0.021388,0.17353,0,0,0,1.6936,0.010078,1.6205E-06,-6.9306E-07,0.0087016,0.0030901,0.0044688,0,0,0,0,0,0,package://kuka_glass/meshes/link_5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kuka_glass/meshes/link_5.STL,,link5-1,Origin_joint5,Axis_joint5,joint5,revolute,0,0,0.086445,0,0,2.9616,link_4,0,0,1,100,50,-2.96,2.96,,,5,5,,,,
link_6,5.731E-06,0.00034304,0.00063484,0,0,0,1.8095,0.0049026,2.5889E-07,1.7497E-07,0.0046942,0.00024415,0.003567,0,0,0,0,0,0,package://kuka_glass/meshes/link_6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kuka_glass/meshes/link_6.STL,,link6-1,Origin_joint6,Axis_joint6,joint6,revolute,0,0,0.31356,0,0.44498,0,link_5,0,1,0,100,50,-2.96,2.96,,,5,5,,,,
gripper,-0.00066987,-0.012519,0.16647,0,0,0,0.12723,0.0001263,-1.0897E-06,2.3683E-07,6.4894E-05,-4.2015E-09,0.00011998,0,0,0,0,0,0,package://kuka_glass/meshes/gripper.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kuka_glass/meshes/gripper.STL,,gripper_glass_assem-1,Origin_joint7,Axis_joint7,joint7,revolute,0,0.01,0,0,0,0.058262,link_6,0,0,1,100,50,-2.96,2.96,,,5,5,,,,
